time_step,speech_signal
0,-27.511097
1,-26.164488
2,-22.60028
3,-20.891378
4,-24.250044
5,-23.707882
6,-26.061953
7,-22.843994
8,-20.92088
9,-23.693977
10,-25.529514
11,-23.608725
12,-21.44216
13,-21.921793
14,-25.57814
15,-27.005781
16,-24.261234
17,-21.911356
18,-22.140024
19,-25.304132
20,-25.40725
21,-23.56466
22,-21.670233
23,-23.81451
24,-26.782667
25,-23.565
26,-24.3965
27,-22.872938
28,-26.086489
29,-24.19196
30,-23.382988
31,-21.558928
32,-22.546444
33,-15.286832
34,-2.9337196
35,-4.976555
36,-9.588381
37,-7.902994
38,-2.04591
39,-1.0755253
40,-1.4475117
41,-3.8546028
42,-8.861593
43,-12.390549
44,-6.47742
45,-4.5949936
46,-8.150028
47,-10.805364
48,-14.599348
49,-19.07152
50,-18.073145
51,-19.346125
52,-4.9233007
53,-8.984154
54,-10.597246
55,-12.873532
56,-18.60835
57,-16.981377
58,-13.502996
59,-4.022043
60,-6.455757
61,-9.6357975
62,-10.11335
63,-8.7900305
64,-6.6871996
65,-6.1514683
66,-12.865258
67,-21.70496
68,-20.566313
69,-22.740376
70,-22.023314
71,-23.234636
72,-16.069172
73,-8.946109
74,-8.475056
75,-13.928257
76,-16.680805
77,-16.470325
78,-15.560848
79,-16.014175
80,-21.85762
81,-24.564556
82,-20.686455
83,-16.430302
84,-21.822884
85,-22.198496
86,-24.973423
87,-10.978529
88,-9.336649
89,-16.955557
90,-21.9037
91,-10.764934
92,-3.0707397
93,-2.9357147
94,-14.688708
95,-17.758095
96,-18.676758
97,-20.404816
98,-24.529797
99,-18.156672
100,-8.606686
101,-11.984069
102,-19.804567
103,-19.766811
104,-21.149412
105,-21.498545
106,-16.860428
107,-18.617195
108,-13.689267
109,-10.622452
110,-13.168291
111,-19.684555
112,-19.541477
113,-11.269562
114,-15.545409
115,-18.508482
116,-16.736343
117,-20.110031
118,-21.552692
119,-9.122055
120,-7.2892923
121,-14.045275
122,-14.04603
123,-8.251593
124,-8.727742
125,-15.409527
126,-19.963428
127,-21.53161
128,-10.17626
129,-3.1657867
130,-13.699862
131,-14.879969
132,-14.677591
133,-11.086601
134,-8.949485
135,-10.846695
136,-10.380473
137,-20.378162
138,-21.135818
139,-17.707493
140,-4.5489416
141,-2.7275505
142,-6.765523
143,-16.536222
144,-20.195686
145,-21.895382
146,-19.938505
147,-21.35738
148,-21.879887
149,-26.009518
150,-25.366083
151,-22.351976
152,-22.684637
153,-24.795696
154,-25.664743
155,-22.254826
156,-22.056974
157,-21.662308
158,-23.813122
159,-25.121986
160,-23.494633
161,-22.329638
162,-13.412045
163,-4.053425
164,-4.9690475
165,-4.1103563
166,-9.331186
167,-13.731371
168,-11.1707945
169,-1.8373241
170,-2.7386608
171,-2.511837
172,-0.8452053
173,-13.521366
174,-19.529814
175,-19.092613
176,-23.732994
177,-22.744028
178,-22.016806
179,-22.184872
180,-22.87079
181,-24.408804
182,-21.933922
183,-23.12672
184,-23.762428
185,-23.778296
186,-22.297073
187,-21.658352
188,-22.520338
189,-26.27082
190,-24.554308
191,-25.052954
192,-22.21088
193,-25.116615
194,-25.572384
195,-22.49381
196,-22.616158
197,-27.027126
198,-27.11681
199,-24.459557
200,-22.643719
201,-24.98302
202,-26.81547
203,-24.889305
204,-25.082718
205,-22.141848
206,-24.218805
207,-25.820406
208,-25.298138
209,-23.526884
210,-21.607214
211,-23.074799
212,-24.599037
213,-24.223251
214,-21.43402
215,-23.242067
216,-26.194845
217,-24.86191
218,-24.124865
219,-21.421656
220,-25.101528
221,-24.58916
222,-24.95895
223,-24.267563
224,-26.051641
225,-23.930609
226,-24.688202
227,-23.355356
228,-21.029278
229,-5.0142584
230,-0.32634544
231,-1.8704414
232,-2.8165894
233,-10.753967
234,-8.29402
235,-10.42721
236,-17.222086
237,-18.885101
238,-20.577602
239,-23.350916
240,-22.467096
241,-22.1741
242,-13.635822
243,-4.895068
244,-0.89829254
245,-4.5938644
246,-17.064438
247,-15.753643
248,-5.68822
249,-5.7441473
250,-8.89648
251,-18.214529
252,-21.500639
253,-8.107944
254,-2.759674
255,-8.695976
256,-15.095184
257,-12.561321
258,-5.5109825
259,-11.915546
260,-17.680412
261,-17.74215
262,-3.5097713
263,0.0
264,-0.36932564
265,-4.024885
266,-13.80454
267,-18.353619
268,-17.09265
269,-6.959774
270,-13.3925495
271,-5.7904215
272,-4.8710938
273,-4.016472
274,-7.074033
275,-11.916371
276,-16.867735
277,-20.174631
278,-22.273928
279,-25.527845
280,-24.51128
281,-23.064875
282,-21.79663
283,-24.027788
284,-24.853775
285,-21.41999
286,-20.869415
287,-21.909782
288,-23.369595
289,-24.968193
290,-24.171482
291,-19.749271
292,-23.090206
293,-26.116589
294,-23.30122
295,-22.458847
296,-22.740604
297,-26.809456
298,-25.097324
299,-21.42633
300,-13.112788
301,-10.320104
302,-10.405326
303,-10.998587
304,-12.451875
305,-13.616615
306,-17.531723
307,-23.843845
308,-17.535894
309,-5.531989
310,-4.1244364
311,-12.512823
312,-19.066183
313,-11.2810755
314,-10.671328
315,-11.198187
316,-10.963144
317,-14.339196
318,-16.03485
319,-18.588013
320,-21.705782
321,-20.88052
322,-19.847322
323,-24.52655
324,-25.2878
325,-24.678038
326,-25.105999
327,-22.017298
328,-21.9039
329,-17.4652
330,-8.567416
331,-7.791685
332,-19.84267
333,-24.47742
334,-18.488188
335,-10.723993
336,-3.2367153
337,-4.072214
338,-6.9978466
339,-18.6743
340,-14.481512
341,-8.21259
342,-8.332171
343,-21.026533
344,-21.070805
345,-9.188084
346,-6.394129
347,-21.157135
348,-23.684755
349,-25.870298
350,-21.243984
351,-14.823863
352,-9.569478
