time_step,speech_signal
0,-29.333614
1,-19.738152
2,-21.729391
3,-24.360664
4,-12.162512
5,-17.010536
6,-17.27441
7,-16.005991
8,-20.98067
9,-25.33378
10,-25.939205
11,-25.366821
12,-18.396564
13,-18.236597
14,-17.80324
15,-15.404097
16,-14.40232
17,-13.444516
18,-18.448002
19,-23.340063
20,-22.667257
21,-23.541496
22,-13.111634
23,-14.430075
24,-13.2876425
25,-15.315752
26,-22.078178
27,-23.379736
28,-27.010239
29,-26.220066
30,-26.343838
31,-26.021782
32,-26.313856
33,-27.56963
34,-26.453094
35,-29.146803
36,-29.485516
37,-25.55205
38,-27.65649
39,-28.026903
40,-29.174324
41,-28.159735
42,-26.414425
43,-27.447252
44,-27.16349
45,-25.557041
46,-25.772804
47,-16.150452
48,-15.592107
49,-16.627075
50,-19.40012
51,-24.504356
52,-25.450626
53,-27.373985
54,-26.477379
55,-24.718893
56,-10.690366
57,-13.5286
58,-19.571417
59,-17.64819
60,-13.542062
61,-9.732618
62,-7.7650223
63,-9.474718
64,-6.9447575
65,-11.789169
66,-12.575004
67,-18.554676
68,-26.293541
69,-25.64359
70,-26.748697
71,-23.242914
72,-19.84999
73,-20.689964
74,-21.2177
75,-21.353678
76,-23.551622
77,-24.942728
78,-26.232094
79,-23.904072
80,-15.476075
81,-12.184745
82,-8.426872
83,-7.650182
84,-18.797949
85,-25.817312
86,-26.727581
87,-25.783867
88,-27.293024
89,-10.144812
90,-10.163357
91,-11.828677
92,-11.320572
93,-13.960188
94,-23.796051
95,-20.327414
96,-14.34527
97,-15.44194
98,-20.21911
99,-21.607521
100,-7.578927
101,-0.7736778
102,-3.5842323
103,-18.592796
104,-22.242693
105,-25.57046
106,-27.82199
107,-23.160395
108,-13.683669
109,-15.490656
110,-13.513475
111,-11.282912
112,-14.105722
113,-15.5871315
114,-19.991302
115,-22.69829
116,-25.819416
117,-12.153044
118,-2.5855312
119,-4.879446
120,-18.583132
121,-23.190975
122,-25.752289
123,-23.896862
124,-15.787804
125,-8.915089
126,-7.582861
127,-10.271065
128,-13.3041935
129,-17.435965
130,-22.967451
131,-25.567453
132,-26.006239
133,-29.087751
134,-20.35508
135,-19.969065
136,-24.031845
137,-24.247564
138,-27.004766
139,-27.474506
140,-28.551542
141,-27.920399
142,-28.154108
143,-28.758718
144,-27.224232
145,-27.600319
146,-27.052553
147,-27.998558
148,-26.71974
149,-25.726252
150,-27.925362
151,-29.185907
152,-28.791279
153,-27.382051
154,-28.292131
155,-27.472103
156,-25.339321
157,-9.438239
158,-8.7365055
159,-11.842035
160,-13.42216
161,-19.999502
162,-18.543774
163,-13.113522
164,-11.345277
165,-10.434367
166,-11.692386
167,-20.154612
168,-19.435324
169,-24.554688
170,-21.310493
171,-18.751188
172,-15.878035
173,-16.010786
174,-19.68184
175,-23.60173
176,-24.663616
177,-25.377977
178,-19.22714
179,-18.905642
180,-26.013584
181,-26.82781
182,-17.732502
183,-17.596851
