time_step,speech_signal
0,-27.117018
1,-22.73271
2,-25.601572
3,-22.266888
4,-26.1425
5,-26.309856
6,-25.53048
7,-20.362503
8,-23.956518
9,-21.97237
10,-21.173004
11,-21.368618
12,-20.57735
13,-20.872105
14,-24.781157
15,-24.907732
16,-22.425098
17,-21.362976
18,-23.800983
19,-16.503231
20,-16.299763
21,-17.71206
22,-7.0216618
23,-6.5976257
24,-7.5753384
25,-8.661505
26,0.0
27,-1.8062496
28,-4.6566486
29,-6.6130447
30,-8.917557
31,-15.968519
32,-12.825318
33,-15.480281
34,-21.678146
35,-24.993488
36,-18.709255
37,-18.570517
38,-24.264181
39,-21.428968
40,-22.108421
41,-22.918217
42,-23.454687
43,-23.816082
44,-26.971148
45,-24.917053
46,-27.06167
47,-23.177713
48,-26.319687
49,-26.831682
50,-26.717283
51,-26.99159
52,-27.504202
53,-26.306908
54,-21.6086
55,-17.180674
56,-17.99176
57,-21.800457
58,-20.91903
59,-22.544794
60,-26.880943
61,-23.230738
62,-22.850025
63,-20.463034
64,-26.686989
65,-24.966614
66,-25.49312
67,-13.630829
68,-8.816319
69,-4.396162
70,-4.90143
71,-5.7883167
72,-9.076813
73,-5.860407
74,-4.616749
75,-4.7514877
76,-9.071377
77,-12.769188
78,-14.0489235
79,-12.210456
80,-8.10317
81,-8.249521
82,-8.509949
83,-10.030377
84,-15.000176
85,-17.090742
86,-22.370092
87,-27.193989
88,-29.818745
89,-30.28201
90,-26.83861
91,-27.100977
92,-30.354277
93,-29.291718
94,-29.683264
95,-29.812466
96,-29.752586
97,-27.445374
98,-28.86058
99,-28.800982
100,-27.573719
101,-28.551645
102,-30.598778
103,-27.075455
104,-29.784729
105,-30.1189
106,-29.702202
107,-29.200201
108,-30.635454
109,-29.00257
110,-31.12521
111,-29.564247
112,-30.789839
113,-30.624058
114,-30.947758
115,-28.921335
116,-28.537718
117,-29.826328
118,-28.97828
119,-29.025795
120,-30.169764
121,-29.652328
122,-29.152884
123,-29.393745
124,-29.632992
125,-27.930191
126,-18.402344
127,-13.379379
128,-12.977909
129,-16.650082
130,-20.112967
131,-17.65477
132,-13.921265
133,-10.997149
134,-17.658503
135,-25.75569
136,-27.474276
137,-28.472176
138,-15.7927475
139,-13.008999
140,-12.85095
141,-12.618113
142,-15.228243
143,-14.368112
144,-16.745255
145,-17.32248
146,-19.170593
147,-25.196468
148,-27.572113
149,-28.627302
150,-28.494356
151,-30.287506
152,-28.013657
153,-19.411556
154,-17.130646
155,-21.437325
156,-19.397543
157,-19.879047
158,-22.672308
159,-18.615292
160,-18.407381
161,-21.25609
162,-18.007313
163,-20.956766
164,-23.866615
165,-26.812105
166,-22.161255
167,-25.468594
168,-20.38982
169,-23.404797
170,-23.70071
171,-20.39264
172,-21.697636
173,-23.080921
174,-23.423552
175,-18.703506
176,-18.35608
177,-20.164207
178,-18.77628
179,-23.882551
180,-25.06312
181,-25.539862
182,-22.667341
183,-16.90741
184,-10.498003
185,-12.342994
186,-17.047897
187,-17.221973
188,-19.38122
189,-24.389776
190,-22.990665
191,-24.882235
192,-22.252644
193,-23.945929
194,-22.458136
195,-23.745775
196,-23.20139
197,-22.24411
198,-24.255573
199,-19.900755
200,-22.981535
201,-24.1585
202,-21.589222
203,-25.097908
204,-26.41522
205,-21.054182
206,-18.933237
207,-22.685053
208,-23.68619
209,-24.35961
210,-23.715813
211,-25.49392
212,-24.68369
213,-25.279081
214,-27.890015
215,-28.406023
216,-30.28
217,-28.802359
218,-29.879583
219,-29.353416
220,-28.389977
221,-28.096409
222,-28.493763
223,-28.946278
224,-27.464428
225,-25.979033
226,-17.28137
227,-16.500183
228,-10.385609
229,-6.981325
230,-14.447174
231,-21.885511
232,-13.187266
233,-27.102226
234,-29.82284
235,-24.717716
236,-4.915695
237,-4.6550503
238,-5.9118233
239,-4.263899
240,-4.6484127
241,-5.266241
242,-7.5542316
243,-12.665136
244,-17.837132
245,-20.418842
246,-18.609037
247,-20.249807
248,-25.317732
249,-23.35366
250,-21.650963
251,-8.077015
252,-4.4523296
253,-3.35676
254,-2.4311638
255,-3.5824814
256,-4.3498783
257,-4.269165
258,-5.9300823
259,-12.516542
260,-12.697115
261,-14.606114
262,-19.100693
263,-14.125545
264,-19.443632
265,-14.394017
266,-18.230541
267,-17.51571
268,-20.145119
269,-19.48116
270,-10.993559
271,-13.848765
272,-7.9342976
273,-5.941656
274,-11.891681
275,-14.270855
276,-15.273447
277,-19.125637
278,-16.10944
279,-18.886969
280,-19.920794
281,-13.758028
282,-15.568946
283,-20.966202
284,-16.492456
285,-14.945644
286,-19.468288
287,-21.669353
288,-20.721197
289,-20.495728
290,-19.360725
291,-18.28766
292,-20.729794
293,-21.237514
294,-23.46066
295,-23.375086
296,-23.56298
297,-25.319233
298,-24.606218
299,-23.305357
300,-25.437698
301,-25.11657
302,-24.210884
303,-24.350878
304,-24.859358
305,-22.105276
306,-22.132801
307,-21.764137
308,-24.156752
309,-25.464525
310,-24.088804
311,-26.185482
312,-26.262777
313,-21.889143
314,-20.602497
315,-23.224318
316,-22.561357
317,-28.684944
318,-29.177214
319,-23.509085
320,-27.701614
321,-26.011822
322,-24.738207
323,-22.292513
324,-23.168169
325,-25.670822
326,-17.365318
327,-12.323133
328,-10.296074
329,-14.976336
330,-17.550993
331,-18.592464
332,-18.079285
333,-17.270792
334,-17.700142
335,-21.178076
336,-24.407358
337,-21.775644
338,-19.542301
339,-25.038008
340,-23.48923
341,-23.312414
342,-23.838408
343,-24.58233
344,-22.694485
345,-22.02699
346,-20.203787
347,-18.271183
348,-17.904911
349,-21.293682
350,-20.595446
351,-9.222644
352,-4.7185497
353,-7.3795414
354,-13.230584
355,-17.034939
356,-18.412045
357,-17.174782
358,-17.537668
359,-17.119202
360,-17.773586
361,-18.153067
362,-13.765476
363,-2.3965569
364,-4.4322395
365,-3.6376972
366,-4.3264885
367,-4.24098
368,-2.003994
369,-5.703413
370,-10.493166
371,-16.810263
372,-15.598031
373,-18.152767
374,-23.452946
375,-24.938612
376,-19.479368
377,-7.9364567
378,-5.4710865
379,-4.752283
380,-4.6905155
381,-4.733734
382,-4.9869576
383,-5.3177643
384,-5.7223835
385,-5.1775455
386,-6.289831
387,-8.792299
388,-22.77848
389,-11.924543
390,-7.2347164
391,-7.126194
392,-7.1505394
393,-6.3079395
394,-5.033741
395,-4.429283
396,-5.783169
397,-7.223383
398,-7.811283
399,-8.218098
400,-9.37919
401,-10.2122755
402,-11.386674
403,-12.114068
